รหัสสินค้า,หมวดสินค้า,ชื่อสินค้า,ประเภทสินค้า,ประเภทสินค้าย่อย,หน่วยนับ,ราคาทุนต่อหน่วย,ราคาขายต่อหน่วย,ยอดยกมา,มูลค่ายกมา,รหัสร้านค้า,รูปสินค้า,flag_activate,admin_note
P230-000421,วัสดุใช้ไป,กบเหลาดินสอ แบบหมุน,วัสดุสำนักงาน,วัสดุสำนักงาน,อัน,265,,2,530,,,TRUE,
P230-000422,วัสดุใช้ไป,กรรไกร ขนาด 8 นิ้ว,วัสดุสำนักงาน,วัสดุสำนักงาน,อัน,85,,15,"1,275.00",,,TRUE,
P230-000423,วัสดุใช้ไป,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีส้ม,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,110,,0,0,,,TRUE,
P230-000424,วัสดุใช้ไป,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีขาว,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,110,,1,110,,,TRUE,
P230-000425,วัสดุใช้ไป,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีเขียว,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,110,,3,330,,,TRUE,
P230-000426,วัสดุใช้ไป,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีชมพู,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,110,,7,770,,,TRUE,
P230-000427,วัสดุใช้ไป,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีฟ้า,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,110,,0,0,,,TRUE,
P230-000428,วัสดุใช้ไป,กระดาษการ์ด หนา 120 แกรม ขนาด A4 สีเหลือง,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,110,,2,220,,,TRUE,
P230-000429,วัสดุใช้ไป,กระดาษกาวย่น แบบม้วน ขนาดกว้าง 1 นิ้ว,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,35,,7,245,,,TRUE,
P230-000430,วัสดุใช้ไป,กระดาษกาวย่น แบบม้วน ขนาดกว้าง 1 นิ้ว 24x25 หลา,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,45,,242,"10,890.00",,,TRUE,
P230-000431,วัสดุใช้ไป,กระดาษกาวย่น แบบม้วน ขนาดกว้าง 1.5 นิ้ว 36x20 หลา,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,25,,31,775,,,TRUE,
P230-000432,วัสดุใช้ไป,กระดาษกาวย่น แบบม้วน ขนาดกว้าง 1/2 นิ้ว 36x20 หลา,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,20,,0,0,,,TRUE,
P230-000433,วัสดุใช้ไป,กระดาษกาวย่น แบบม้วน ขนาดกว้าง 2 นิ้ว 20 หลา,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,30,,29,870,,,TRUE,
P230-000434,วัสดุใช้ไป,กระดาษไข สำหรับเครื่องโรเนียว,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,"1,200.00",,0,0,,,TRUE,
P230-000435,วัสดุใช้ไป,กระดาษคาร์บอน สีน้ำเงิน,วัสดุสำนักงาน,วัสดุสำนักงาน,กล่อง,150,,1,150,,,TRUE,
P230-000436,วัสดุใช้ไป,กระดาษต่อเนื่อง แบบ 1 ชั้น ขนาด 15x11 นิ้ว,วัสดุสำนักงาน,วัสดุสำนักงาน,กล่อง,"2,000.00",,9,"18,000.00",,,TRUE,
P230-000437,วัสดุใช้ไป,กระดาษถ่ายเอกสาร ขนาด A4,วัสดุสำนักงาน,วัสดุสำนักงาน,รีม,120,,250,"30,000.00",,,TRUE,
P230-000438,วัสดุใช้ไป,กระดาษเทอร์มอล สำหรับเครื่อง EDC ขนาด 57*40 มม.,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,90,,80,"7,200.00",,,TRUE,
P230-000439,วัสดุใช้ไป,กระดาษเทอร์มอล สำหรับเครื่องวัดความดัน ขนาด 57*55 มม.,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,50,,270,"13,500.00",,,TRUE,
P230-000440,วัสดุใช้ไป,กระดาษเทอร์มอล ขนาด 80*80 มม.,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,60,,60,"3,600.00",,,TRUE,
P230-000441,วัสดุใช้ไป,กระดาษบรุ๊ฟ ขนาด 31x43 นิ้ว สีขาว,วัสดุสำนักงาน,วัสดุสำนักงาน,แผ่น,4,,0,0,,,TRUE,
P230-000442,วัสดุใช้ไป,กระดาษบวกเลข สำหรับเครื่องคิดเลข ขนาด 2 1/4 นิ้ว,วัสดุสำนักงาน,วัสดุสำนักงาน,ม้วน,10,,17,170,,,TRUE,
P230-000443,วัสดุใช้ไป,กระดาษแบงค์ หนา 55 แกรม สำหรับรองปก ขนาด A4 สีเขียว,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,95,,7,665,,,TRUE,
P230-000444,วัสดุใช้ไป,กระดาษแบงค์ หนา 55 แกรม สำหรับรองปก ขนาด A4 สีชมพู,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,95,,4,380,,,TRUE,
P230-000445,วัสดุใช้ไป,กระดาษแบงค์ หนา 55 แกรม สำหรับรองปก ขนาด A4 สีฟ้า,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,95,,6,570,,,TRUE,
P230-000446,วัสดุใช้ไป,กระดาษแบงค์ หนา 55 แกรม สำหรับรองปก ขนาด A4 สีเหลือง,วัสดุสำนักงาน,วัสดุสำนักงาน,ห่อ,95,,14,"1,330.00",,,TRUE,
P230-000447,วัสดุใช้ไป,กระดาษโรเนียว หนา 70 แกรม ขนาด A4 สีขาว,วัสดุสำนักงาน,วัสดุสำนักงาน,รีม,120,,61,"7,320.00",,,TRUE,
